movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
Patton;Biography, Drama, War;1970;172;79;910;90992;617
Talk to Her;Drama, Mystery, Romance;2002;112;79;860;100927;928
King Kong;Adventure, Horror, Sci-Fi;1933;100;79;900;76229;100
Short Cuts;Comedy, Drama;1993;188;77;790;40890;611
The Producers;Comedy, Music;1967;88;76;960;48017;11
My Name Is Khan;Drama;2010;165;80;500;94598;402
Notorious;Drama, Film-Noir, Romance;1946;102;79;1000;88405;1046
Withnail & I;Comedy, Drama;1987;107;77;840;38279;154
25th Hour;Drama;2002;135;76;670;165835;1306
Anatomy of a Murder;Crime, Drama, Mystery;1959;161;80;950;56546;119
From Here to Eternity;Drama, Romance, War;1953;118;76;850;41190;305
Once;Drama, Music, Romance;2007;86;78;880;107707;944
Touch of Evil;Crime, Drama, Film-Noir;1958;95;80;990;95381;224
A Very Long Engagement;Drama, Mystery, Romance;2004;133;76;760;69533;617
Once Upon a Time in Anatolia;Crime, Drama;2011;157;79;820;37985;14
The Salesman;Drama, Thriller;2016;124;78;850;46259;24
The White Ribbon;Drama, History, Mystery;2009;144;78;820;65653;222
Spring, Summer, Fall, Winter... and Spring;Drama, Romance;2003;103;80;850;74054;238
Loveless;Drama;2017;127;76;860;26685;57
All Quiet on the Western Front;Drama, War;1930;152;80;910;55350;327
The African Queen;Adventure, Drama, Romance;1951;105;77;910;68944;54
It Happened One Night;Comedy, Romance;1934;105;81;870;88976;436
Waking Life;Animation, Drama, Fantasy;2001;99;78;820;58940;289
Volver;Comedy, Drama;2006;121;76;840;91461;129
Leviathan;Crime, Drama;2014;140;76;920;46343;109
Infernal Affairs;Crime, Drama, Mystery;2002;101;80;750;114803;17
The Secret of NIMH;Animation, Adventure, Drama;1982;82;76;760;34771;1014
Thank You for Smoking;Comedy, Drama;2005;92;76;710;209512;2479
A Prophet;Crime, Drama;2009;155;79;900;90546;208
Good Bye Lenin!;Comedy, Drama, Romance;2003;121;77;680;133379;406
The Grapes of Wrath;Drama, History;1940;129;80;960;83481;6
The Diving Bell and the Butterfly;Biography, Drama;2007;112;80;920;100747;599
The Station Agent;Comedy, Drama;2003;89;76;810;65754;574
The Little Prince;Animation, Adventure, Drama;2015;108;77;700;53361;134
Song of the Sea;Animation, Adventure, Drama;2014;93;81;850;47523;86
Land of Mine;Drama, History, War;2015;100;78;750;31606;44
A Man Called Ove;Comedy, Drama, Romance;2015;116;77;700;43056;336
Dead Man's Shoes;Crime, Drama, Thriller;2004;90;76;520;47817;1
Down by Law;Comedy, Crime, Drama;1986;107;78;750;45724;144
The Verdict;Drama;1982;129;77;770;33989;540
Crimes and Misdemeanors;Comedy, Drama;1989;104;79;770;52495;1825
South Park: Bigger, Longer & Uncut;Animation, Comedy, Fantasy;1999;81;77;730;187755;5201
Elite Squad;Action, Crime, Drama;2007;115;81;330;95001;1
On Golden Pond;Drama;1981;109;76;680;26419;11929
The Innocents;Horror;1961;100;78;880;25161;262
The Legend of 1900;Drama, Music, Romance;1998;169;81;580;56021;26
The Hurricane;Biography, Drama, Sport;1999;146;76;740;88815;5067
Mysterious Skin;Drama;2004;105;76;730;64079;7
The Adventures of Robin Hood;Action, Adventure, Romance;1938;102;79;970;45453;398
The Lunchbox;Drama, Romance;2013;104;78;760;45071;423
Three Colors: White;Comedy, Drama, Romance;1994;92;77;880;59415;146
Hannah and Her Sisters;Comedy, Drama;1986;107;79;900;64313;4008
3-Iron;Crime, Drama, Romance;2004;88;80;720;47178;24
The Day of the Jackal;Crime, Drama, Thriller;1973;143;78;800;35743;1606
The Broken Circle Breakdown;Drama, Music, Romance;2012;111;78;700;37891;18
The Best Years of Our Lives;Drama, Romance, War;1946;170;80;930;55244;2365
Wait Until Dark;Horror, Thriller;1967;108;78;810;26491;1755
The Conformist;Drama;1970;113;80;1000;25047;54
The Experiment;Drama, Thriller;2001;120;77;600;89003;14
Once Were Warriors;Crime, Drama;1994;102;79;770;30377;22
The Sea Inside;Biography, Drama;2004;126;80;740;75112;209
Night on Earth;Comedy, Drama;1991;129;78;680;52703;202
The Discreet Charm of the Bourgeoisie;Comedy;1972;102;79;930;35810;2
About Elly;Drama, Mystery, Thriller;2009;119;80;870;41547;11
Black Cat, White Cat;Comedy, Crime, Romance;1998;127;81;730;48922;35
Cat on a Hot Tin Roof;Drama;1958;108;80;800;42787;1757
The Celebration;Drama;1998;105;80;820;75402;165
Ace in the Hole;Drama, Film-Noir;1951;111;81;720;28668;397
A Christmas Story;Comedy, Family;1983;94;80;770;126923;2061
Mr. Smith Goes to Washington;Comedy, Drama;1939;129;81;730;102320;96
Control;Biography, Drama, Music;2007;122;77;780;59691;87
Lilya 4-Ever;Crime, Drama;2002;109;78;820;41158;18
Secrets & Lies;Comedy, Drama;1996;136;80;910;35245;1342
The Return;Drama;2003;110;80;820;40273;5
4 Months, 3 Weeks and 2 Days;Drama;2007;113;79;970;54331;119
Love Me If You Dare;Comedy, Drama, Romance;2003;93;76;450;65479;55
Philomena;Biography, Comedy, Drama;2013;98;76;770;91352;3771
Fearless;Action, Biography, Drama;2006;104;76;700;71260;2463
The Battle of Algiers;Drama, War;1966;121;81;960;49591;6
Shine;Biography, Drama, Music;1996;105;77;870;49863;3581
The World's Fastest Indian;Biography, Drama, Sport;2005;127;78;680;50450;513
The Odd Couple;Comedy;1968;105;77;860;30259;4453
Persepolis;Animation, Biography, Drama;2007;96;80;900;85346;445
Il Postino;Biography, Comedy, Drama;1994;108;77;810;32002;2185
No Man's Land;Comedy, Drama, War;2001;98;79;840;43289;106
A Hard Day's Night;Comedy, Music, Musical;1964;87;76;960;38422;1378
The Purple Rose of Cairo;Comedy, Fantasy, Romance;1985;82;77;750;45049;1063
The Past;Drama, Mystery;2013;130;78;850;42956;133
Cowboy Bebop: The Movie;Animation, Action, Crime;2001;115;79;610;41071;10
Chak de! India;Drama, Family, Sport;2007;153;82;680;69983;111
Nine Queens;Crime, Drama, Thriller;2000;114;79;800;47736;122
In a Better World;Drama, Romance;2010;118;76;650;37473;101
